Concurso;Data_Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_Numeros;Ganhadores_14_Numeros;Ganhadores_13_Numeros;Ganhadores_12_Numeros;Ganhadores_11_Numeros;Valor_Rateio_15_Numeros;Valor_Rateio_14_Numeros;Valor_Rateio_13_Numeros;Valor_Rateio_12_Numeros;Valor_Rateio_11_Numeros;Acumulado_15_Numeros;Estimativa_Premio;Valor_Acumulado_Especial;Pares;Impares;N_Primos
599;10/01/2011;02;04;05;06;07;09;12;13;16;18;20;21;22;23;24;0,00;2;880;25267;242911;1212629;0;0;0;0;0;0;0;0;9;6;5
600;13/01/2011;01;03;05;06;08;09;10;11;16;17;18;19;22;23;25;0,00;1;446;18792;264016;1311553;0;0;0;0;0;0;0;0;6;9;6
601;17/01/2011;01;03;05;06;07;09;10;11;12;13;14;16;19;20;25;0,00;1;412;17057;233981;1391101;0;0;0;0;0;0;0;0;6;9;6
602;20/01/2011;01;02;05;06;07;08;09;10;11;12;13;18;22;23;25;0,00;3;380;15543;202872;1287103;0;0;0;0;0;0;0;0;7;8;6
603;24/01/2011;02;04;05;06;08;10;12;13;15;16;19;20;21;22;23;0,00;9;1056;25773;261450;1219712;0;0;0;0;0;0;0;0;9;6;5
604;27/01/2011;01;02;06;07;09;12;13;14;15;18;19;20;22;24;25;0,00;3;506;18012;211005;1136698;0;0;0;0;0;0;0;0;8;7;4
605;31/01/2011;02;03;04;05;07;10;11;13;14;16;17;18;21;23;25;0,00;2;672;22418;238557;1242808;0;0;0;0;0;0;0;0;6;9;8
606;03/02/2011;02;03;06;07;08;10;12;14;15;16;18;22;23;24;25;0,00;2;534;21419;252623;1205679;0;0;0;0;0;0;0;0;10;5;4
607;07/02/2011;03;05;07;09;12;15;16;17;18;19;20;21;22;24;25;0,00;3;523;19073;242004;1275101;0;0;0;0;0;0;0;0;6;9;5
608;10/02/2011;01;02;03;05;07;08;10;13;14;16;17;18;19;23;25;0,00;3;577;22142;288028;1426372;0;0;0;0;0;0;0;0;6;9;8
609;14/02/2011;01;02;04;07;09;10;11;12;14;15;16;19;20;23;25;0,00;2;776;24054;258435;1294077;0;0;0;0;0;0;0;0;7;8;5
610;17/02/2011;01;02;04;06;07;08;10;12;13;14;15;16;21;22;25;0,00;2;333;16464;193384;1130653;0;0;0;0;0;0;0;0;9;6;3
611;21/02/2011;02;03;04;05;06;08;09;13;14;16;18;19;20;21;23;0,00;2;513;19827;228178;1252332;0;0;0;0;0;0;0;0;8;7;6
612;24/02/2011;01;02;03;06;07;09;10;13;15;16;17;18;19;23;25;0,00;3;529;20136;283214;1383199;0;0;0;0;0;0;0;0;5;10;7
613;28/02/2011;02;05;06;07;10;11;12;13;14;16;17;20;22;23;25;0,00;1;550;18083;220899;1226595;0;0;0;0;0;0;0;0;8;7;7
614;03/03/2011;01;05;06;07;09;11;12;13;16;17;18;19;20;22;23;0,00;1;425;16100;234811;1334543;0;0;0;0;0;0;0;0;6;9;7
615;05/03/2011;01;02;04;07;08;11;12;17;19;20;21;22;23;24;25;0,00;0;242;9713;116484;624296;0;0;0;0;0;0;0;0;7;8;6
616;10/03/2011;01;02;06;09;10;12;15;16;17;18;19;21;22;24;25;0,00;2;343;15129;207683;1239087;0;0;0;0;0;0;0;0;8;7;3
617;14/03/2011;01;02;03;04;05;07;10;14;15;16;19;21;22;24;25;0,00;0;327;13164;185941;1177952;0;0;0;0;0;0;0;0;7;8;5
618;17/03/2011;01;02;04;05;06;07;09;12;13;17;19;20;21;22;24;0,00;6;1435;34894;357814;1689262;0;0;0;0;0;0;0;0;7;8;6
619;21/03/2011;01;03;04;07;08;09;13;14;17;18;19;20;21;23;25;0,00;6;1203;34886;333691;1516821;0;0;0;0;0;0;0;0;5;10;6
620;24/03/2011;01;05;06;07;10;11;12;14;15;16;18;19;20;21;22;0,00;3;450;16122;213960;1171772;0;0;0;0;0;0;0;0;8;7;4
621;28/03/2011;01;02;03;05;06;08;09;10;12;15;16;20;22;24;25;0,00;3;700;25271;269094;1261576;0;0;0;0;0;0;0;0;9;6;3
622;31/03/2011;02;03;04;05;06;07;09;10;11;12;13;15;17;18;21;0,00;5;2177;18926;275820;1304035;0;0;0;0;0;0;0;0;6;9;7
623;04/04/2011;01;02;03;04;05;08;09;10;11;12;15;20;22;23;25;0,00;2;475;18049;250782;1419371;0;0;0;0;0;0;0;0;7;8;5
624;07/04/2011;01;02;04;05;06;07;09;11;12;16;17;18;20;21;24;0,00;6;491;18521;251634;1273538;0;0;0;0;0;0;0;0;8;7;5
625;11/04/2011;01;02;03;06;08;10;11;13;14;15;16;17;22;23;24;0,00;3;546;18552;228447;1243048;0;0;0;0;0;0;0;0;8;7;6
626;14/04/2011;01;02;03;04;05;07;08;09;11;13;17;19;21;23;24;0,00;5;1355;44982;395051;1581102;0;0;0;0;0;0;0;0;4;11;9
627;18/04/2011;01;02;03;04;06;10;12;14;15;17;21;22;23;24;25;0,00;4;320;14807;216494;1245786;0;0;0;0;0;0;0;0;8;7;4
628;20/04/2011;02;03;04;07;08;09;10;11;13;15;18;19;22;23;25;0,00;4;673;19084;200567;980620;0;0;0;0;0;0;0;0;6;9;7
629;25/04/2011;01;02;04;05;06;07;09;12;14;15;17;19;21;22;25;0,00;8;1332;31880;290092;1271027;0;0;0;0;0;0;0;0;6;9;5
630;28/04/2011;01;02;04;06;07;12;13;14;17;18;20;22;23;24;25;0,00;2;638;21857;246268;1306143;0;0;0;0;0;0;0;0;9;6;5
631;02/05/2011;02;03;05;07;08;09;10;13;14;16;17;18;19;20;21;0,00;3;450;17567;246877;1322228;0;0;0;0;0;0;0;0;7;8;7
632;05/05/2011;01;04;06;08;10;11;13;14;16;17;20;21;22;24;25;0,00;4;762;21365;229826;1156578;0;0;0;0;0;0;0;0;9;6;3
633;09/05/2011;02;03;06;07;08;09;10;12;18;20;21;22;23;24;25;0,00;2;388;15770;204945;1230298;0;0;0;0;0;0;0;0;9;6;4
634;12/05/2011;02;03;04;05;09;10;11;12;14;15;18;19;20;21;22;0,00;3;661;22824;226188;1264483;0;0;0;0;0;0;0;0;8;7;5
635;16/05/2011;01;04;05;06;07;08;09;11;12;13;18;19;20;22;24;0,00;2;593;19681;253091;1313774;0;0;0;0;0;0;0;0;8;7;5
636;19/05/2011;01;02;03;04;06;10;12;13;14;16;19;20;21;23;25;0,00;3;576;18740;229516;1271739;0;0;0;0;0;0;0;0;8;7;5
637;23/05/2011;02;04;06;07;09;13;16;17;18;19;20;21;22;23;25;0,00;2;464;17743;224856;1262268;0;0;0;0;0;0;0;0;7;8;6
638;26/05/2011;01;02;03;04;09;11;13;14;16;18;19;21;23;24;25;0,00;2;526;21710;236658;1330081;0;0;0;0;0;0;0;0;6;9;6
639;30/05/2011;01;02;04;05;06;08;09;10;12;16;19;20;21;22;24;0,00;5;492;19883;262917;1264562;0;0;0;0;0;0;0;0;10;5;3
640;02/06/2011;01;03;04;05;09;11;13;14;16;18;19;20;21;22;23;0,00;2;466;19194;261859;1323769;0;0;0;0;0;0;0;0;6;9;6
641;06/06/2011;02;03;06;07;08;09;11;13;16;18;19;20;21;22;24;0,00;1;495;20270;239817;1348492;0;0;0;0;0;0;0;0;8;7;6
642;09/06/2011;01;02;04;05;08;10;11;12;13;18;19;20;21;22;25;0,00;4;842;24625;278466;1446550;0;0;0;0;0;0;0;0;8;7;5
643;13/06/2011;01;02;04;07;08;09;10;13;16;17;19;21;22;23;24;0,00;3;447;19976;255454;1434460;0;0;0;0;0;0;0;0;7;8;6
644;16/06/2011;02;03;05;06;07;08;09;12;13;14;15;18;21;22;24;0,00;2;568;20049;248830;1430441;0;0;0;0;0;0;0;0;8;7;5
645;20/06/2011;04;05;08;09;10;11;13;16;18;19;20;21;22;23;25;0,00;4;818;23865;294008;1438491;0;0;0;0;0;0;0;0;7;8;5
646;24/06/2011;01;03;05;06;09;10;14;15;17;18;19;20;21;23;25;0,00;0;503;17721;220793;1104937;0;0;0;0;0;0;0;0;5;10;5
647;27/06/2011;04;06;07;08;09;11;13;14;17;18;19;20;22;23;25;0,00;3;523;19995;253649;1373952;0;0;0;0;0;0;0;0;7;8;6
648;30/06/2011;02;04;06;08;09;10;11;13;15;16;18;19;20;21;22;0,00;11;1810;40540;359672;1392519;0;0;0;0;0;0;0;0;9;6;4
649;04/07/2011;01;02;04;05;06;08;09;10;11;14;15;17;21;22;24;0,00;2;448;17292;224449;1323044;0;0;0;0;0;0;0;0;8;7;4
650;07/07/2011;01;03;07;08;10;13;14;16;17;19;20;21;23;24;25;0,00;7;690;24105;283145;1409638;0;0;0;0;0;0;0;0;6;9;6
651;11/07/2011;01;04;05;06;08;10;13;14;15;17;18;19;20;24;25;0,00;6;415;16114;220498;1262606;0;0;0;0;0;0;0;0;8;7;4
652;14/07/2011;02;05;07;09;10;11;13;14;16;17;18;19;20;21;23;0,00;8;825;34507;304760;1526942;0;0;0;0;0;0;0;0;6;9;8
653;18/07/2011;01;02;03;07;08;12;13;14;16;17;19;20;21;22;23;0,00;5;777;22874;280435;1377295;0;0;0;0;0;0;0;0;7;8;7
654;21/07/2011;01;02;03;07;12;13;14;16;17;18;19;20;22;23;25;0,00;2;814;47662;264054;1422803;0;0;0;0;0;0;0;0;7;8;7
655;25/07/2011;02;05;07;08;10;11;13;14;15;19;20;21;23;24;25;0,00;1;667;25036;285756;1478659;0;0;0;0;0;0;0;0;6;9;7
656;28/07/2011;02;03;05;07;08;09;11;13;14;15;18;20;22;23;25;0,00;11;1450;34748;327871;1554860;0;0;0;0;0;0;0;0;6;9;7
657;01/08/2011;02;03;04;05;06;08;10;12;13;15;17;19;23;24;25;0,00;9;1799;34632;329281;1545390;0;0;0;0;0;0;0;0;7;8;7
658;04/08/2011;01;04;05;06;07;09;10;11;14;15;17;21;23;24;25;0,00;0;494;20320;268288;1405228;0;0;0;0;0;0;0;0;5;10;5
659;08/08/2011;01;03;04;05;06;08;09;10;11;12;15;19;20;23;24;0,00;6;663;24827;316959;1777295;0;0;0;0;0;0;0;0;7;8;5
660;11/08/2011;03;04;05;06;07;08;09;12;14;15;16;17;19;24;25;0,00;0;611;21890;253608;1343439;0;0;0;0;0;0;0;0;7;8;5
661;15/08/2011;01;03;06;07;10;11;12;15;17;18;19;20;22;23;24;0,00;0;576;20131;269743;1619717;0;0;0;0;0;0;0;0;7;8;6
662;18/08/2011;01;02;03;06;07;08;09;11;13;14;15;16;19;20;22;0,00;8;741;27285;378957;2273297;0;0;0;0;0;0;0;0;7;8;6
663;22/08/2011;02;04;05;06;07;09;11;13;16;17;19;21;22;23;24;0,00;8;1314;34032;354983;1576910;0;0;0;0;0;0;0;0;6;9;8
664;25/08/2011;01;03;04;07;10;13;14;15;16;17;18;20;21;23;24;0,00;3;709;23073;266563;1372907;0;0;0;0;0;0;0;0;7;8;5
665;29/08/2011;02;03;06;07;12;13;14;15;17;18;20;21;22;24;25;0,00;4;495;18564;244730;1346151;0;0;0;0;0;0;0;0;8;7;5
666;01/09/2011;01;02;04;06;07;11;12;14;15;16;18;20;21;24;25;0,00;3;564;18649;233643;1254042;0;0;0;0;0;0;0;0;9;6;3
667;05/09/2011;03;04;05;06;08;10;13;15;17;18;19;20;21;24;25;0,00;0;543;28877;289600;1464384;0;0;0;0;0;0;0;0;7;8;5
668;08/09/2011;01;02;07;09;10;11;12;13;15;16;17;20;23;24;25;0,00;0;1182;24993;315339;1719747;0;0;0;0;0;0;0;0;6;9;6
669;12/09/2011;02;04;05;06;12;13;15;16;17;18;19;22;23;24;25;0,00;3;1441;31327;422759;2267424;0;0;0;0;0;0;0;0;8;7;6
670;15/09/2011;01;07;08;10;12;13;14;15;17;18;20;21;22;23;25;0,00;1;545;23349;283376;1587363;0;0;0;0;0;0;0;0;7;8;4
671;19/09/2011;04;05;07;08;09;10;11;12;13;14;18;19;20;22;24;0,00;5;627;28972;299696;1626828;0;0;0;0;0;0;0;0;9;6;5
672;22/09/2011;01;02;04;06;09;10;11;12;15;17;19;21;23;24;25;0,00;18;1852;40833;376528;1590546;0;0;0;0;0;0;0;0;6;9;5
673;26/09/2011;02;04;05;07;08;09;10;11;12;13;14;15;17;19;20;0,00;6;935;28361;384735;1602321;0;0;0;0;0;0;0;0;7;8;7
674;29/09/2011;02;03;08;10;11;14;15;16;18;19;20;22;23;24;25;0,00;3;466;18545;249044;1424551;0;0;0;0;0;0;0;0;9;6;5
675;03/10/2011;02;03;04;05;07;10;11;13;14;15;16;17;22;23;24;0,00;0;447;19841;264790;1484860;0;0;0;0;0;0;0;0;7;8;8
676;06/10/2011;02;04;05;06;08;10;12;13;15;16;19;20;21;24;25;0,00;27;1898;44001;437502;1926601;0;0;0;0;0;0;0;0;9;6;4
677;10/10/2011;01;02;05;06;07;08;10;11;12;13;15;16;19;23;25;0,00;4;695;25144;307365;1757520;0;0;0;0;0;0;0;0;6;9;7
678;13/10/2011;02;03;05;07;09;10;12;15;18;19;20;21;23;24;25;0,00;7;1029;29255;311672;1534522;0;0;0;0;0;0;0;0;6;9;6
679;17/10/2011;02;07;08;10;11;12;13;14;15;17;18;19;20;21;22;0,00;3;527;22138;299828;1562572;0;0;0;0;0;0;0;0;8;7;6
680;20/10/2011;03;04;06;07;08;09;12;13;14;16;18;19;20;21;22;0,00;6;762;25279;288785;1486849;0;0;0;0;0;0;0;0;9;6;4
681;24/10/2011;02;03;04;06;07;08;10;11;12;14;15;16;18;19;23;0,00;11;886;22911;271627;1510086;0;0;0;0;0;0;0;0;9;6;6
682;27/10/2011;01;02;04;05;06;07;08;11;14;17;18;19;22;24;25;0,00;5;581;20398;252038;1395487;0;0;0;0;0;0;0;0;8;7;6
683;31/10/2011;01;02;04;05;06;07;08;09;10;11;12;13;15;23;24;0,00;3;676;74528;268720;1473755;0;0;0;0;0;0;0;0;7;8;6
684;03/11/2011;01;04;05;08;10;11;12;13;14;16;20;21;22;24;25;0,00;2;376;18523;223535;1287269;0;0;0;0;0;0;0;0;9;6;3
685;07/11/2011;01;03;04;09;12;13;15;17;19;20;21;22;23;24;25;0,00;6;909;29982;357321;1747870;0;0;0;0;0;0;0;0;5;10;5
686;10/11/2011;01;03;04;06;07;10;12;13;16;19;20;22;23;24;25;0,00;8;791;21521;257178;1439934;0;0;0;0;0;0;0;0;8;7;5
687;14/11/2011;01;02;03;04;06;09;12;13;15;18;19;20;23;24;25;0,00;3;872;29302;331938;1627018;0;0;0;0;0;0;0;0;7;8;5
688;17/11/2011;01;02;03;04;07;09;11;12;14;16;19;21;22;23;24;0,00;3;679;26413;271125;1403679;0;0;0;0;0;0;0;0;7;8;6
689;21/11/2011;02;03;04;05;06;07;08;11;12;13;15;17;22;23;24;0,00;5;608;23905;326171;1736438;0;0;0;0;0;0;0;0;7;8;8
690;24/11/2011;01;02;03;09;10;11;12;13;14;15;18;19;20;24;25;0,00;13;1000;27745;289566;1507969;0;0;0;0;0;0;0;0;7;8;5
691;28/11/2011;01;02;03;06;07;08;09;11;13;17;18;19;20;22;23;0,00;3;702;26133;336843;1620986;0;0;0;0;0;0;0;0;6;9;8
692;01/12/2011;01;02;04;06;07;10;11;12;17;18;19;21;22;23;24;0,00;7;618;21487;290590;1508173;0;0;0;0;0;0;0;0;8;7;6
693;05/12/2011;01;02;03;04;06;07;09;10;11;14;16;17;19;21;22;0,00;1;611;25967;282885;1440512;0;0;0;0;0;0;0;0;7;8;6
694;08/12/2011;01;03;06;08;09;10;11;14;15;16;18;19;20;21;24;0,00;2;501;20072;241026;1360830;0;0;0;0;0;0;0;0;8;7;3
695;12/12/2011;02;03;04;05;11;13;14;17;18;19;20;21;22;24;25;0,00;1;351;14624;226964;1483823;0;0;0;0;0;0;0;0;7;8;7
696;15/12/2011;01;04;05;07;09;10;11;13;14;15;16;20;21;22;24;0,00;4;700;23639;285765;1425029;0;0;0;0;0;0;0;0;7;8;4
697;19/12/2011;01;02;03;07;08;11;14;15;16;18;19;22;23;24;25;0,00;5;677;27928;263866;1462000;0;0;0;0;0;0;0;0;7;8;6
698;22/12/2011;02;03;04;06;07;09;10;12;14;15;18;20;21;22;24;0,00;8;1010;28719;306730;1469014;0;0;0;0;0;0;0;0;10;5;3
699;26/12/2011;02;03;04;06;08;09;10;15;16;18;19;21;22;23;25;0,00;1;394;16570;225670;1295966;0;0;0;0;0;0;0;0;8;7;4
700;29/12/2011;01;02;06;07;08;09;10;13;14;16;18;19;21;22;25;0,00;0;397;15486;216236;1356770;0;0;0;0;0;0;0;0;8;7;4
701;02/01/2012;03;04;08;10;12;13;14;16;17;19;20;21;22;23;25;0,00;3;597;22320;292350;1622356;0;0;0;0;0;0;0;0;8;7;5
702;05/01/2012;01;02;03;04;05;06;07;08;09;10;13;14;20;23;25;0,00;10;1681;23468;284761;1370498;0;0;0;0;0;0;0;0;7;8;6
703;09/01/2012;02;05;08;10;11;14;15;17;18;20;21;22;23;24;25;0,00;6;746;23555;287923;1552624;0;0;0;0;0;0;0;0;8;7;5
704;12/01/2012;02;03;05;06;08;10;11;13;14;15;16;17;22;23;24;0,00;6;2945;34500;300420;1537665;0;0;0;0;0;0;0;0;8;7;7
705;16/01/2012;03;04;06;07;08;09;11;12;14;15;16;20;21;22;25;0,00;2;337;14407;202239;1261091;0;0;0;0;0;0;0;0;8;7;3
706;19/01/2012;01;02;03;04;06;08;12;13;16;18;19;21;22;24;25;0,00;4;627;23978;281830;1531310;0;0;0;0;0;0;0;0;9;6;4
707;23/01/2012;03;04;06;07;08;11;12;14;15;16;17;20;21;24;25;0,00;3;633;37271;213418;1187296;0;0;0;0;0;0;0;0;8;7;4
708;26/01/2012;01;02;03;04;05;06;09;11;14;16;19;21;22;24;25;0,00;5;631;18587;253601;1327971;0;0;0;0;0;0;0;0;7;8;5
709;30/01/2012;01;03;06;07;08;11;12;14;15;16;18;19;20;22;23;0,00;4;502;18752;258408;1406084;0;0;0;0;0;0;0;0;8;7;5
710;02/02/2012;02;03;04;06;12;14;15;17;18;19;20;21;22;24;25;0,00;2;409;22037;276241;1509467;0;0;0;0;0;0;0;0;9;6;4
711;06/02/2012;01;02;04;05;06;07;10;12;13;15;16;18;21;22;24;0,00;5;717;22688;255396;1405971;0;0;0;0;0;0;0;0;9;6;4
712;08/02/2012;01;04;08;09;12;14;15;16;17;18;20;21;22;23;25;0,00;1;270;9425;125060;726687;0;0;0;0;0;0;0;0;8;7;2
713;10/02/2012;02;03;04;05;06;11;13;14;15;19;21;22;23;24;25;0,00;2;490;33901;231734;1258455;0;0;0;0;0;0;0;0;6;9;7
714;13/02/2012;04;06;07;08;09;10;11;12;13;14;15;17;19;21;22;0,00;3;730;15281;225383;1283742;0;0;0;0;0;0;0;0;7;8;5
715;15/02/2012;01;03;05;08;10;11;13;14;15;18;20;22;23;24;25;0,00;6;961;28109;296555;1151742;0;0;0;0;0;0;0;0;7;8;5
716;17/02/2012;01;03;05;07;08;11;12;14;15;16;18;20;21;23;25;0,00;15;2345;39132;318550;1247106;0;0;0;0;0;0;0;0;6;9;5
717;22/02/2012;01;02;03;05;07;08;09;11;14;16;18;20;21;23;25;0,00;9;1336;47412;238762;1095760;0;0;0;0;0;0;0;0;6;9;6
718;24/02/2012;03;04;07;09;11;13;14;15;17;19;21;22;23;24;25;0,00;10;1523;42938;374042;1551618;0;0;0;0;0;0;0;0;4;11;7
719;27/02/2012;02;07;08;09;10;11;13;15;16;18;19;22;23;24;25;0,00;2;493;20869;250657;1300818;0;0;0;0;0;0;0;0;7;8;6
720;29/02/2012;04;07;09;10;11;12;13;16;17;18;20;21;23;24;25;0,00;2;246;11285;151789;847742;0;0;0;0;0;0;0;0;7;8;5
721;02/03/2012;01;02;03;04;05;07;08;09;10;11;12;14;15;19;21;0,00;2;602;66743;216021;1192772;0;0;0;0;0;0;0;0;6;9;6
722;05/03/2012;01;03;05;06;07;08;10;13;14;16;17;19;20;23;24;0,00;5;569;21560;228147;1236098;0;0;0;0;0;0;0;0;7;8;7
723;07/03/2012;02;03;04;05;07;08;09;10;11;12;14;15;18;20;24;0,00;2;571;19855;316133;1235115;0;0;0;0;0;0;0;0;9;6;5
724;09/03/2012;01;03;05;06;07;10;12;14;15;18;19;20;23;24;25;0,00;8;786;20495;250020;1301517;0;0;0;0;0;0;0;0;7;8;5
725;12/03/2012;01;05;06;07;09;10;12;13;15;16;17;18;21;24;25;0,00;1;437;17124;215269;1171154;0;0;0;0;0;0;0;0;6;9;4
726;14/03/2012;01;02;04;07;09;10;11;13;14;15;16;20;21;24;25;0,00;2;616;22517;221979;1118236;0;0;0;0;0;0;0;0;7;8;4
727;16/03/2012;03;04;06;07;08;09;11;16;18;20;21;22;23;24;25;0,00;2;334;12284;186038;1088773;0;0;0;0;0;0;0;0;8;7;4
728;19/03/2012;03;04;06;07;08;10;11;13;16;19;20;21;22;23;25;0,00;2;433;16731;241057;1220737;0;0;0;0;0;0;0;0;7;8;6
729;21/03/2012;01;02;03;04;06;07;09;10;12;14;15;17;22;23;25;0,00;0;423;18958;211582;1202030;0;0;0;0;0;0;0;0;7;8;5
730;23/03/2012;01;03;04;08;11;12;14;16;18;19;20;21;22;24;25;0,00;2;732;26053;300629;1609108;0;0;0;0;0;0;0;0;9;6;3
731;26/03/2012;03;04;06;07;08;11;12;14;15;17;18;19;21;22;24;0,00;8;930;24643;274479;1313279;0;0;0;0;0;0;0;0;8;7;5
732;28/03/2012;01;04;08;09;10;11;13;14;17;20;21;22;23;24;25;0,00;2;396;16013;196288;1148094;0;0;0;0;0;0;0;0;7;8;4
733;30/03/2012;01;04;05;06;07;08;11;12;14;16;18;19;20;22;24;0,00;4;561;21732;260784;1169639;0;0;0;0;0;0;0;0;10;5;4
734;02/04/2012;02;03;06;08;09;10;13;15;17;18;19;20;21;23;24;0,00;7;657;24012;266496;1376141;0;0;0;0;0;0;0;0;7;8;6
735;04/04/2012;05;06;08;10;11;12;13;14;17;19;20;21;22;24;25;0,00;2;438;17967;218084;1212906;0;0;0;0;0;0;0;0;8;7;5
736;07/04/2012;02;03;04;05;06;08;09;10;13;15;16;17;19;21;23;0,00;1;468;17577;205306;922208;0;0;0;0;0;0;0;0;6;9;7
737;09/04/2012;02;03;04;05;06;07;08;10;12;14;16;17;18;22;25;0,00;1;305;13453;174483;917615;0;0;0;0;0;0;0;0;10;5;5
738;11/04/2012;02;06;07;09;11;12;13;14;16;18;19;20;23;24;25;0,00;1;378;14364;203984;1222290;0;0;0;0;0;0;0;0;8;7;6
739;13/04/2012;02;03;04;08;09;10;11;14;17;20;21;22;23;24;25;0,00;4;663;28456;224406;1247457;0;0;0;0;0;0;0;0;8;7;5
740;16/04/2012;01;04;05;09;10;11;12;13;14;19;21;22;23;24;25;0,00;1;510;18004;241122;1249106;0;0;0;0;0;0;0;0;6;9;5
741;18/04/2012;02;03;05;07;10;11;12;13;14;16;17;18;21;24;25;0,00;2;459;15516;183234;1095199;0;0;0;0;0;0;0;0;7;8;7
742;20/04/2012;01;03;05;06;07;08;09;11;13;14;15;19;20;21;23;0,00;4;530;27681;291897;1351826;0;0;0;0;0;0;0;0;4;11;7
743;23/04/2012;01;02;03;06;09;10;11;12;14;15;17;21;22;23;24;0,00;1;313;12556;161818;932386;0;0;0;0;0;0;0;0;7;8;5
744;25/04/2012;01;03;04;06;07;09;10;11;12;13;15;16;19;23;24;0,00;2;671;19496;214579;1169178;0;0;0;0;0;0;0;0;6;9;6
745;27/04/2012;01;03;06;07;08;09;11;12;13;16;17;20;22;24;25;0,00;3;383;12891;179734;1067335;0;0;0;0;0;0;0;0;7;8;5
746;30/04/2012;02;03;04;05;08;09;10;16;17;18;19;20;21;24;25;0,00;3;288;9774;146479;933453;0;0;0;0;0;0;0;0;8;7;5
747;02/05/2012;01;02;03;04;06;07;10;12;13;15;16;17;20;23;24;0,00;0;356;12561;158421;831838;0;0;0;0;0;0;0;0;8;7;6
748;04/05/2012;01;03;04;05;06;08;09;10;12;15;17;18;20;21;23;0,00;4;740;25464;296034;1556747;0;0;0;0;0;0;0;0;7;8;4
749;07/05/2012;01;02;03;04;06;07;08;11;13;14;15;18;19;22;24;0,00;1;518;19696;251235;1304255;0;0;0;0;0;0;0;0;8;7;6
750;09/05/2012;02;03;04;05;07;09;10;11;13;15;19;20;21;24;25;0,00;8;865;29753;319295;1462867;0;0;0;0;0;0;0;0;5;10;7
751;11/05/2012;03;05;06;08;09;12;13;14;16;17;19;20;21;22;23;0,00;7;681;21114;243402;1237484;0;0;0;0;0;0;0;0;7;8;6
752;14/05/2012;01;04;05;06;07;08;12;13;14;16;18;19;21;24;25;0,00;7;627;17679;212417;1164773;0;0;0;0;0;0;0;0;8;7;4
753;16/05/2012;01;03;04;05;06;07;08;11;13;14;17;20;21;22;25;0,00;6;491;16741;206295;1171646;0;0;0;0;0;0;0;0;6;9;6
754;18/05/2012;01;04;05;07;13;15;16;17;18;19;20;22;23;24;25;0,00;3;345;14150;185786;1158321;0;0;0;0;0;0;0;0;6;9;6
755;21/05/2012;01;02;03;05;07;08;10;11;12;13;14;16;17;24;25;0,00;2;470;23827;218721;1260942;0;0;0;0;0;0;0;0;7;8;7
756;23/05/2012;03;05;06;07;08;10;13;14;15;16;17;20;22;23;25;0,00;3;535;17736;225949;1167863;0;0;0;0;0;0;0;0;7;8;6
757;25/05/2012;01;03;04;08;09;10;11;13;14;15;17;18;20;21;23;0,00;5;836;24379;270512;1333561;0;0;0;0;0;0;0;0;6;9;5
758;28/05/2012;01;02;04;05;06;11;12;15;16;17;18;20;23;24;25;0,00;3;310;11198;166841;1057956;0;0;0;0;0;0;0;0;8;7;5
759;30/05/2012;02;05;07;08;09;10;15;16;17;18;19;20;23;24;25;0,00;2;578;9180;133895;815061;0;0;0;0;0;0;0;0;7;8;6
760;01/06/2012;01;02;03;07;09;10;11;12;13;15;16;17;23;24;25;0,00;9;3022;24835;283885;1334195;0;0;0;0;0;0;0;0;5;10;7
761;04/06/2012;01;04;05;06;10;11;12;13;14;15;16;19;20;22;24;0,00;1;368;14167;201097;1150308;0;0;0;0;0;0;0;0;9;6;4
762;06/06/2012;01;02;03;05;06;07;09;10;11;12;13;14;17;21;22;0,00;2;458;15842;257970;1143254;0;0;0;0;0;0;0;0;6;9;7
763;08/06/2012;01;02;03;04;06;07;13;14;16;17;18;21;22;24;25;0,00;3;664;12191;154856;906528;0;0;0;0;0;0;0;0;8;7;5
764;11/06/2012;01;03;04;06;08;09;11;12;14;16;17;19;23;24;25;0,00;16;920;23336;229207;1159177;0;0;0;0;0;0;0;0;7;8;5
765;13/06/2012;01;02;03;07;08;09;10;12;13;14;18;20;23;24;25;0,00;8;1028;26570;251606;1282968;0;0;0;0;0;0;0;0;8;7;5
766;15/06/2012;01;03;05;06;07;09;12;13;14;15;16;18;21;24;25;0,00;5;848;26482;243389;1197381;0;0;0;0;0;0;0;0;6;9;4
767;18/06/2012;01;03;04;05;07;08;10;11;12;15;17;19;22;23;24;0,00;8;1046;26738;270587;1312314;0;0;0;0;0;0;0;0;6;9;7
768;20/06/2012;01;03;05;06;11;12;13;14;15;17;19;20;23;24;25;0,00;4;416;16825;229876;1241351;0;0;0;0;0;0;0;0;5;10;7
769;22/06/2012;03;04;05;07;10;11;13;15;16;17;19;20;22;23;25;0,00;5;805;25035;276476;1207581;0;0;0;0;0;0;0;0;5;10;8
770;25/06/2012;01;03;04;05;06;09;11;12;16;17;18;21;22;24;25;0,00;4;392;12944;176680;1048056;0;0;0;0;0;0;0;0;7;8;4
771;27/06/2012;02;04;05;06;07;08;09;10;14;16;17;20;22;23;25;0,00;1;277;10814;165579;945913;0;0;0;0;0;0;0;0;9;6;5
